"table_name","column_name","data_type","is_nullable"
"appointments","id","uuid","NO"
"appointments","connection_id","uuid","NO"
"appointments","external_appointment_id","character varying","NO"
"appointments","patient_id","character varying","YES"
"appointments","provider_id","character varying","YES"
"appointments","practice_id","character varying","YES"
"appointments","appointment_date","date","NO"
"appointments","start_time","time without time zone","YES"
"appointments","end_time","time without time zone","YES"
"appointments","duration_minutes","integer","YES"
"appointments","appointment_type","character varying","YES"
"appointments","appointment_status","character varying","YES"
"appointments","cancellation_reason","character varying","YES"
"appointments","treatment_codes","jsonb","YES"
"appointments","treatment_description","text","YES"
"appointments","notes","text","YES"
"appointments","fee_charged","numeric","YES"
"appointments","fee_nhs","numeric","YES"
"appointments","fee_private","numeric","YES"
"appointments","payment_status","character varying","YES"
"appointments","uda_value","numeric","YES"
"appointments","uoa_value","numeric","YES"
"appointments","raw_data","jsonb","YES"
"appointments","source_system","character varying","YES"
"appointments","first_synced_at","timestamp with time zone","YES"
"appointments","last_synced_at","timestamp with time zone","YES"
"patients","id","uuid","NO"
"patients","connection_id","uuid","NO"
"patients","external_patient_id","character varying","NO"
"patients","title","character varying","YES"
"patients","first_name","character varying","YES"
"patients","middle_name","character varying","YES"
"patients","last_name","character varying","YES"
"patients","preferred_name","character varying","YES"
"patients","date_of_birth","date","YES"
"patients","gender","character varying","YES"
"patients","email","character varying","YES"
"patients","phone_mobile","character varying","YES"
"patients","phone_home","character varying","YES"
"patients","phone_work","character varying","YES"
"patients","address_line1","character varying","YES"
"patients","address_line2","character varying","YES"
"patients","city","character varying","YES"
"patients","county","character varying","YES"
"patients","postcode","character varying","YES"
"patients","country","character varying","YES"
"patients","registration_date","date","YES"
"patients","patient_status","character varying","YES"
"patients","preferred_provider_id","character varying","YES"
"patients","patient_type","character varying","YES"
"patients","nhs_number","character varying","YES"
"patients","exemption_status","character varying","YES"
"patients","raw_data","jsonb","YES"
"patients","source_system","character varying","YES"
"patients","first_synced_at","timestamp with time zone","YES"
"patients","last_synced_at","timestamp with time zone","YES"
"patients","sync_hash","character varying","YES"
"providers","id","uuid","NO"
"providers","connection_id","uuid","NO"
"providers","external_provider_id","character varying","NO"
"providers","title","character varying","YES"
"providers","first_name","character varying","YES"
"providers","last_name","character varying","YES"
"providers","gdc_number","character varying","YES"
"providers","provider_type","character varying","YES"
"providers","specialization","character varying","YES"
"providers","email","character varying","YES"
"providers","phone","character varying","YES"
"providers","employment_type","character varying","YES"
"providers","employment_status","character varying","YES"
"providers","start_date","date","YES"
"providers","end_date","date","YES"
"providers","works_monday","boolean","YES"
"providers","works_tuesday","boolean","YES"
"providers","works_wednesday","boolean","YES"
"providers","works_thursday","boolean","YES"
"providers","works_friday","boolean","YES"
"providers","works_saturday","boolean","YES"
"providers","works_sunday","boolean","YES"
"providers","raw_data","jsonb","YES"
"providers","source_system","character varying","YES"
"providers","first_synced_at","timestamp with time zone","YES"
"providers","last_synced_at","timestamp with time zone","YES"
"treatments","id","uuid","NO"
"treatments","connection_id","uuid","NO"
"treatments","external_treatment_id","character varying","NO"
"treatments","appointment_id","character varying","YES"
"treatments","patient_id","character varying","YES"
"treatments","provider_id","character varying","YES"
"treatments","treatment_date","date","YES"
"treatments","treatment_code","character varying","YES"
"treatments","treatment_description","character varying","YES"
"treatments","tooth_notation","character varying","YES"
"treatments","surface","character varying","YES"
"treatments","fee","numeric","YES"
"treatments","fee_type","character varying","YES"
"treatments","quantity","integer","YES"
"treatments","treatment_status","character varying","YES"
"treatments","raw_data","jsonb","YES"
"treatments","source_system","character varying","YES"
"treatments","first_synced_at","timestamp with time zone","YES"
"treatments","last_synced_at","timestamp with time zone","YES"
